YDS,British,French,UIAA,Saxon,Ewbank (AUS/NZ),Ewbank (SA),Nordic (Finnish),Nordic (SWE/NOR),Brazil
3,1,1,I,I,1,1,1,1,I
4,1,1,I,I,2,2,1,1,I
5,1,1,I,I,3,3,1,1,I sup
5,1,1,I,I,4,4,1,1,I sup
5.1,2,2,II,II,5,5,2,2,II
5.1,2,2,II,II,6,6,2,2,II
5.2,2,2,II,II,7,7,2,2,II sup
5.2,2,2,II,II,8,8,2,2,II sup
5.3,3,3,III,III,8,8,3,3,II sup
5.3,3,3,III,III,9,9,3,3,II sup
5.4,3,4a,IV,IV,10,10,4,3,III
5.4,3,4a,IV,IV,11,11,4,3,III
5.5,4a,4b,IV+,V,11,11,4,4,III sup
5.5,4a,4b,IV+,V,12,12,4,4,III sup
5.6,4b,4c,V,VI,13,13,5-,4,IV
5.7,4c,5a,V+,VI,14,14,5-,5-,IV
5.7,4c,5a,V+,VI,15,15,5-,5-,IV
5.8,4c,5b,VI-,VIIa,15,16,5,5,IV sup
5.8,4c,5b,VI-,VIIa,16,16,5,5,IV sup
5.9,5a,5c,VI,VIIb,17,17,5+,5+,V
5.9,5a,5c,VI,VIIb,17,18,5+,5+,V
5.10a,5a,6a,VI+,VIIc,18,19,6?,6-,VI
5.10b,5b,6a+,VII-,VIIc,19,20,6?,6-,VI
5.10c,5b,6b,VII,VIIIa,20,21,6,6,VI sup
5.10d,5c,6b+,VII+,VIIIb,20,22,6,6+,VI sup
5.11a,5c,6c,VII+,VIIIc,21,22,6+,7-,7a
5.11b,5c,6c+,VIII-,VIIIc,22,23,6+,7,7b
5.11c,6a,6c+,VIII-,IXa,23,24,7?,7,7c
5.11d,6a,7a,VIII,IXb,24,25,7,7+,7c
5.12a,6a,7a+,VIII+,IXc,25,26,7+,7+,8a
5.12a,6a,7a+,VIII+,IXc,25,26,7+,8-,8a
5.12b,6a,7b,VIII+,IXc,26,27,8?,8-,8b
5.12c,6b,7b+,IX?,Xa,27,28,8,8,8c
5.12d,6b,7c,IX,Xb,28,29,8+,8,9a
5.12d,6b,7c,IX,Xb,28,29,8+,8+,9a
5.13a,6b,7c+,IX+,Xc,29,30,9?,8+,9b
5.13b,6c,8a,IX+,Xc,29,31,9,9-,9c
5.13c,6c,8a+,X?,XIa,30,32,9+,9-,10a
5.13c,6c,8a+,X?,XIa,30,32,9+,9,10a
5.13d,6c,8b,X,XIb,31,33,10?,9,10b
5.14a,7a,8b+,X+,XIc,32,34,10,9,10c
5.14a,7a,8b+,X+,XIc,32,34,10,9+,10c
5.14b,7a,8c,X+,XIc,33,35,10+,9+,11a
5.14c,7b,8c+,XI?,XIc,34,36,11?,9+,11b
5.14d,7b,9a,XI,XIc,35,37,11,9+,11c
5.15a,7b,9a+,XI+,XIc,36,38,11,9+,12a
5.15b,7b,9b,XI+,XIc,37,39,11,9+,12b
5.15b,7b,9b,XII,XIc,37,39,11,9+,12b
5.15c,7b,9b+,XII-,XIc,38,40,11,9+,12c
